size,0,1,2,3,4,5
5,3,3,3,5,15,19
6,4,3,2,4,8,10
7,6,4,3,5,9,21
8,12,8,4,8,9,14
9,23,11,6,11,12,25
10,29,15,8,11,12,19
11,43,25,11,15,15,21
12,62,33,14,17,18,32
13,65,34,17,14,24,27
14,140,60,24,16,25,43
15,147,67,26,20,29,37
16,116,63,45,29,34,43
17,139,73,37,29,39,56
18,227,86,48,47,48,57
19,196,119,50,44,54,63
20,300,117,60,45,65,71
21,319,138,71,51,73,97
22,376,158,80,62,93,110
23,339,176,129,66,111,120
24,394,296,102,73,122,132
