size,0,1,2,3,4,5
5,0,1,1,1,3,3
6,0,0,0,1,0,1
7,0,0,0,1,0,1
8,0,0,1,0,1,2
9,1,0,0,0,0,13
10,0,0,0,0,1,1
11,0,0,0,0,1,10
12,0,1,0,0,1,1
13,0,0,0,1,0,1
14,1,1,1,0,1,5
15,1,0,0,1,1,1
16,1,1,1,0,1,1
17,1,0,0,0,0,4
18,1,0,0,0,0,1
19,1,0,0,1,1,3
20,1,1,0,0,1,1
21,2,1,1,2,0,11
22,2,1,0,1,1,3
23,2,1,1,2,1,6
24,3,1,2,1,1,2
