size,0,1,2,3,4,5
5,26,3,2,6,7,15
6,4,2,2,4,8,14
7,6,4,4,4,7,12
8,8,8,5,6,9,20
9,12,18,11,10,12,24
10,16,15,8,11,11,18
11,19,29,12,12,15,21
12,27,51,19,18,23,26
13,34,35,19,17,23,32
14,42,70,24,18,25,35
15,53,97,29,30,31,39
16,60,78,37,38,34,45
17,75,83,39,31,43,53
18,85,87,52,51,47,63
19,103,125,63,53,55,64
20,117,118,63,49,67,81
21,138,137,78,64,78,90
22,158,170,86,65,100,116
23,179,233,94,71,103,122
24,205,203,138,86,118,136
